Vehicle Class,Coverage,Renew Offer Type,EmploymentStatus,Marital Status,Education,Number of Policies,Monthly Premium Auto,Total Claim Amount,Income,Customer Lifetime Value
Two-Door Car,Extended,Offer2,Employed,Married,College,1,94,451.2,94903,3808.122147
SUV,Basic,Offer1,Employed,Married,Bachelor,9,109,417.72438,37277,8613.464001
Sports Car,Basic,Offer4,Employed,Married,Master,3,100,215.226476,63834,8000.545061
Four-Door Car,Extended,Offer1,Medical Leave,Single,High School or Below,2,95,456,22510,17651.96339
Four-Door Car,Extended,Offer1,Unemployed,Single,High School or Below,1,80,824.487259,0,2749.189304
Two-Door Car,Extended,Offer2,Unemployed,Married,Bachelor,2,86,541.217743,0,8681.046339
SUV,Basic,Offer1,Employed,Divorced,Bachelor,2,106,508.8,33190,33473.34946
SUV,Extended,Offer1,Employed,Married,College,5,129,619.2,52693,10248.89802
Four-Door Car,Basic,Offer1,Retired,Single,Bachelor,2,74,355.2,25859,7813.411572
Two-Door Car,Premium,Offer1,Employed,Divorced,High School or Below,3,110,372.594847,86721,8828.933996
Four-Door Car,Basic,Offer2,Employed,Divorced,College,6,66,316.8,38713,4834.710493
Two-Door Car,Basic,Offer1,Employed,Married,College,2,65,46.804,50296,7737.265103
Four-Door Car,Extended,Offer3,Employed,Married,Bachelor,1,99,560.045764,96413,3979.718986
SUV,Extended,Offer1,Employed,Married,Bachelor,1,122,585.6,23705,4531.372981
Four-Door Car,Basic,Offer1,Employed,Married,Bachelor,2,63,105.765111,53863,15182.27975
Four-Door Car,Extended,Offer1,Disabled,Married,College,1,90,290.432527,14262,3460.66504
Four-Door Car,Extended,Offer1,Employed,Divorced,High School or Below,3,84,25.961213,80979,6622.05254
Four-Door Car,Basic,Offer2,Employed,Married,High School or Below,2,61,202.847644,65870,7286.789075
SUV,Basic,Offer2,Disabled,Married,College,5,111,453.578343,21052,8432.815731
Four-Door Car,Basic,Offer2,Employed,Married,High School or Below,3,69,383.043363,38210,5479.854218
Four-Door Car,Basic,Offer1,Unemployed,Single,High School or Below,2,73,525.6,0,7411.813055
Four-Door Car,Basic,Offer1,Unemployed,Single,Bachelor,2,61,439.2,0,19045.50012
Four-Door Car,Extended,Offer4,Medical Leave,Married,High School or Below,8,76,519.883102,22906,5746.32619
Two-Door Car,Basic,Offer3,Employed,Married,High School or Below,2,61,292.8,34398,9613.613215
SUV,Basic,Offer2,Employed,Single,Bachelor,2,100,455.851876,20742,11177.7521
Two-Door Car,Extended,Offer1,Employed,Divorced,Bachelor,1,88,43.542559,58484,3498.773857
Four-Door Car,Premium,Offer2,Employed,Married,College,1,110,528,58842,4362.931238
Luxury SUV,Premium,Offer2,Employed,Divorced,College,1,253,1214.4,25965,9830.337629
Sports Car,Basic,Offer1,Unemployed,Single,Bachelor,7,116,556.8,0,8385.252347
Four-Door Car,Basic,Offer3,Employed,Married,Bachelor,2,61,291.388894,43947,6817.430723
Two-Door Car,Basic,Offer2,Employed,Single,College,2,64,231.201886,60920,7507.455372
Four-Door Car,Extended,Offer2,Employed,Divorced,College,1,78,374.4,33415,3095.803437
SUV,Basic,Offer1,Employed,Married,Master,4,106,406.634615,99652,8566.423522
Four-Door Car,Basic,Offer1,Employed,Married,High School or Below,9,70,501.994635,37595,5633.949267
Two-Door Car,Basic,Offer1,Employed,Married,High School or Below,5,63,257.923563,30503,4897.979559
SUV,Premium,Offer2,Employed,Married,Master,2,158,51.902587,99772,19231.77266
Four-Door Car,Extended,Offer1,Employed,Married,Bachelor,9,80,383.228397,72667,6395.351807
SUV,Basic,Offer4,Employed,Married,College,1,103,71.647924,75272,4122.569957
Four-Door Car,Extended,Offer1,Employed,Married,College,1,78,507.060901,60108,3142.81161
Four-Door Car,Extended,Offer1,Employed,Married,College,2,99,115.728852,38923,11318.08982
Four-Door Car,Basic,Offer3,Unemployed,Single,College,2,66,316.8,0,11308.47178
SUV,Basic,Offer3,Unemployed,Married,Doctor,9,111,672.91665,0,8296.176276
Two-Door Car,Extended,Offer3,Medical Leave,Divorced,High School or Below,2,82,393.6,23402,15519.67161
Two-Door Car,Basic,Offer3,Employed,Married,Master,1,68,315.353519,43386,2731.39917
Two-Door Car,Basic,Offer3,Unemployed,Single,College,2,68,326.4,0,6896.088021
Four-Door Car,Basic,Offer1,Unemployed,Single,High School or Below,3,70,336,0,4974.235309
Four-Door Car,Extended,Offer2,Employed,Single,High School or Below,2,88,117.470445,61650,10506.93706
SUV,Extended,Offer1,Employed,Married,Doctor,2,123,482.550044,61675,44856.11397
SUV,Basic,Offer1,Unemployed,Single,College,2,118,566.4,0,20957.60504
SUV,Basic,Offer2,Employed,Single,Bachelor,8,104,748.8,21723,7894.5005
Four-Door Car,Extended,Offer3,Unemployed,Single,High School or Below,4,83,540.514115,0,5849.321498
Luxury SUV,Basic,Offer1,Unemployed,Single,High School or Below,1,196,1644.690622,0,7086.176012
Two-Door Car,Extended,Offer3,Unemployed,Single,College,6,93,669.6,0,6512.976472
SUV,Basic,Offer2,Employed,Married,College,2,100,296.560998,32214,11793.12528
Two-Door Car,Basic,Offer2,Unemployed,Married,High School or Below,7,73,496.474767,0,5325.724541
Two-Door Car,Extended,Offer1,Unemployed,Single,High School or Below,1,98,705.6,0,3233.262049
Four-Door Car,Basic,Offer1,Medical Leave,Single,Bachelor,1,69,331.2,29735,2453.570794
SUV,Basic,Offer1,Unemployed,Married,College,1,100,720,0,3460.12299
Two-Door Car,Extended,Offer2,Employed,Married,Master,8,94,421.456547,87864,7666.520438
Four-Door Car,Basic,Offer4,Employed,Married,Master,1,66,105.379402,68787,2674.07551
Four-Door Car,Extended,Offer2,Employed,Married,College,2,86,412.8,62587,10373.88882
Two-Door Car,Basic,Offer3,Unemployed,Married,High School or Below,2,67,308.54976,0,7191.831645
Luxury Car,Basic,Offer2,Employed,Married,High School or Below,6,182,716.469391,60120,14510.7505
Four-Door Car,Extended,Offer4,Medical Leave,Single,Master,1,88,633.6,16891,3359.290918
Two-Door Car,Extended,Offer3,Unemployed,Married,Bachelor,1,80,384,0,2938.728161
Four-Door Car,Extended,Offer1,Employed,Single,College,3,94,451.2,32517,6798.272436
Four-Door Car,Extended,Offer2,Employed,Married,High School or Below,1,95,270.370335,34624,3755.260251
Four-Door Car,Basic,Offer2,Medical Leave,Married,College,1,61,377.24342,19581,2320.750557
Four-Door Car,Basic,Offer2,Employed,Married,Master,2,62,223.72051,53262,16887.79708
SUV,Basic,Offer4,Unemployed,Single,High School or Below,1,106,763.2,0,3839.746159
Four-Door Car,Basic,Offer2,Employed,Married,College,1,62,208.598246,63860,2472.469209
Two-Door Car,Basic,Offer3,Employed,Married,College,1,73,383.789732,20852,2927.516316
Four-Door Car,Basic,Offer2,Employed,Married,Master,1,63,302.4,43072,2523.07015
Luxury Car,Basic,Offer2,Employed,Single,Bachelor,2,186,427.63121,61321,58166.55351
Four-Door Car,Extended,Offer2,Retired,Married,High School or Below,1,78,486.278557,10312,2886.451602
SUV,Basic,Offer4,Employed,Married,High School or Below,2,114,660.135987,97460,23020.89147
Four-Door Car,Extended,Offer4,Employed,Married,Bachelor,2,80,384,39266,9587.33234
Four-Door Car,Basic,Offer2,Employed,Married,College,1,67,91.914969,58166,2685.901421
Two-Door Car,Basic,Offer2,Unemployed,Single,High School or Below,5,71,340.8,0,4979.079933
Four-Door Car,Extended,Offer2,Employed,Married,Master,1,99,547.619785,38820,3942.917284
Four-Door Car,Premium,Offer1,Employed,Married,High School or Below,2,112,326.926833,32762,13268.79263
Four-Door Car,Extended,Offer3,Employed,Married,Bachelor,2,79,46.386546,42240,9486.596417
Four-Door Car,Extended,Offer1,Employed,Single,College,8,92,530.340202,63267,7247.206475
Four-Door Car,Basic,Offer2,Disabled,Married,High School or Below,1,68,326.4,18746,2590.214327
Four-Door Car,Premium,Offer1,Disabled,Divorced,Bachelor,2,101,484.8,11885,11315.20373
SUV,Extended,Offer4,Employed,Married,High School or Below,1,132,199.590599,97742,5352.18703
Two-Door Car,Extended,Offer4,Employed,Married,High School or Below,2,88,205.169178,77627,10552.87837
Four-Door Car,Premium,Offer2,Employed,Married,High School or Below,9,113,542.4,34337,9035.671134
Two-Door Car,Basic,Offer1,Employed,Divorced,Bachelor,8,74,355.2,88723,5981.381645
Four-Door Car,Basic,Offer1,Employed,Divorced,Bachelor,7,68,45.215059,77552,5382.752045
Two-Door Car,Premium,Offer2,Medical Leave,Married,Master,2,107,333.886816,15818,12427.39371
Sports Car,Basic,Offer4,Employed,Married,College,1,114,738.222494,44230,4510.194071
Four-Door Car,Premium,Offer2,Employed,Divorced,High School or Below,3,101,316.111035,95191,8024.508444
Four-Door Car,Premium,Offer1,Medical Leave,Married,College,2,113,807.721213,11854,13118.74322
Two-Door Car,Extended,Offer2,Employed,Married,Master,7,77,43.14147,92895,6252.3631
Two-Door Car,Basic,Offer3,Unemployed,Single,College,3,61,292.8,0,4330.799785
Two-Door Car,Basic,Offer1,Unemployed,Married,Bachelor,2,63,243.208647,0,20774.02463
Luxury SUV,Premium,Offer3,Disabled,Married,Bachelor,9,273,1965.6,15529,20725.37773
Sports Car,Basic,Offer2,Employed,Married,College,4,109,400.181882,62464,8658.863813
Four-Door Car,Basic,Offer4,Unemployed,Married,Doctor,1,64,437.184112,0,2510.633216
Four-Door Car,Basic,Offer4,Employed,Married,College,6,66,316.8,40818,5267.848664
Four-Door Car,Basic,Offer2,Employed,Married,College,1,67,139.963594,24721,2620.392335
Four-Door Car,Basic,Offer3,Employed,Married,High School or Below,9,73,17.375878,76875,5890.528762
Two-Door Car,Basic,Offer1,Unemployed,Single,Bachelor,3,70,336,0,4633.101259
Two-Door Car,Basic,Offer2,Employed,Married,College,9,71,60.021023,97607,5755.539367
Two-Door Car,Extended,Offer1,Employed,Married,College,1,86,366.381387,66711,3479.260311
Four-Door Car,Basic,Offer1,Employed,Divorced,Doctor,1,62,67.530904,36631,2491.317024
Four-Door Car,Basic,Offer1,Employed,Single,High School or Below,3,70,307.963291,77493,5610.96434
Sports Car,Basic,Offer1,Employed,Single,Master,8,116,158.077504,37722,9075.768214
Four-Door Car,Extended,Offer1,Unemployed,Married,Bachelor,7,88,422.4,0,6307.497245
Four-Door Car,Basic,Offer1,Employed,Married,Bachelor,8,74,113.801497,41611,5973.976904
Two-Door Car,Basic,Offer2,Employed,Married,High School or Below,2,71,379.029102,92766,20096.89337
Four-Door Car,Extended,Offer2,Medical Leave,Married,High School or Below,1,96,460.8,17162,3716.479655
Four-Door Car,Basic,Offer3,Medical Leave,Married,College,1,65,312,17658,2511.944048
Four-Door Car,Basic,Offer2,Employed,Married,High School or Below,1,62,297.6,74624,2454.355436
Two-Door Car,Basic,Offer2,Unemployed,Married,High School or Below,7,73,496.474767,0,5325.724541
Two-Door Car,Basic,Offer4,Employed,Single,College,1,67,321.6,27800,2606.186321
Four-Door Car,Extended,Offer2,Employed,Married,College,2,80,344.767795,45668,9701.027271
Four-Door Car,Basic,Offer2,Employed,Married,Bachelor,9,62,90.569696,36913,4938.893241
Four-Door Car,Extended,Offer2,Employed,Married,Master,1,92,213.225001,60804,3679.142115
Two-Door Car,Basic,Offer2,Employed,Married,Bachelor,2,61,45.463345,72878,7094.158873
Four-Door Car,Extended,Offer2,Unemployed,Single,Bachelor,1,78,845.654042,0,2549.450038
Sports Car,Basic,Offer1,Unemployed,Married,Master,2,100,480,0,26570.34335
Four-Door Car,Extended,Offer4,Employed,Married,Bachelor,1,91,73.839514,34986,3636.943738
Four-Door Car,Extended,Offer1,Employed,Married,Bachelor,4,83,398.4,72661,6639.328932
SUV,Basic,Offer4,Employed,Married,College,1,116,556.8,47481,4605.87485
SUV,Basic,Offer2,Employed,Married,Master,1,103,141.199465,77048,4191.966092
Four-Door Car,Extended,Offer2,Employed,Married,College,8,82,393.6,72608,6521.368813
Four-Door Car,Premium,Offer2,Employed,Married,College,1,107,513.6,60475,4330.38602
Sports Car,Basic,Offer3,Employed,Married,High School or Below,1,114,547.2,39053,4594.292826
Four-Door Car,Extended,Offer1,Unemployed,Single,Bachelor,5,86,619.2,0,5337.352409
Two-Door Car,Premium,Offer3,Unemployed,Married,High School or Below,1,108,525.392239,0,3920.511337
Two-Door Car,Extended,Offer2,Employed,Married,Bachelor,1,82,350.325879,46435,3245.332058
SUV,Basic,Offer1,Unemployed,Divorced,College,4,118,566.4,0,8714.922135
Luxury SUV,Basic,Offer1,Employed,Married,College,7,192,878.812468,69841,15417.6822
Four-Door Car,Basic,Offer2,Employed,Single,College,2,64,394.582401,41045,7396.719746
Four-Door Car,Basic,Offer1,Medical Leave,Married,Master,2,68,465.41477,21876,7771.158973
Sports Car,Basic,Offer2,Disabled,Divorced,College,3,111,532.8,21829,8579.889155
Sports Car,Basic,Offer1,Medical Leave,Married,College,2,102,489.6,25370,11638.89947
Two-Door Car,Extended,Offer2,Employed,Married,Doctor,5,87,310.160362,77235,7035.763363
Two-Door Car,Basic,Offer2,Employed,Married,High School or Below,2,65,2.574682,46182,7777.201669
Four-Door Car,Basic,Offer2,Employed,Married,High School or Below,1,63,293.070538,38667,2487.649473
Sports Car,Basic,Offer1,Unemployed,Single,High School or Below,1,110,792,0,3857.770745
Four-Door Car,Premium,Offer2,Employed,Single,Bachelor,1,103,494.4,60817,3964.730745
Four-Door Car,Extended,Offer1,Disabled,Single,Doctor,1,81,258.109435,28383,3023.887488
Luxury Car,Basic,Offer3,Employed,Married,Bachelor,1,185,579.467191,37511,7098.017093
Four-Door Car,Basic,Offer2,Unemployed,Single,College,1,70,341.329847,0,2430.959055
Four-Door Car,Extended,Offer4,Employed,Married,College,2,84,224.265232,74001,10114.98621
SUV,Basic,Offer1,Employed,Divorced,High School or Below,1,109,523.2,86001,4358.762008
Two-Door Car,Basic,Offer2,Employed,Married,Bachelor,1,69,331.2,92296,2759.978287
Four-Door Car,Basic,Offer3,Employed,Divorced,High School or Below,1,73,106.267659,78596,2949.282616
Two-Door Car,Basic,Offer1,Unemployed,Married,Bachelor,1,72,345.6,0,2554.189234
SUV,Extended,Offer2,Unemployed,Single,Bachelor,8,124,595.2,0,8401.788653
Four-Door Car,Extended,Offer3,Employed,Divorced,High School or Below,6,96,460.8,46998,7484.310483
Four-Door Car,Extended,Offer2,Unemployed,Married,Bachelor,1,89,491.755368,0,3256.766388
Four-Door Car,Extended,Offer1,Employed,Married,College,7,79,379.2,88663,6382.047596
Four-Door Car,Basic,Offer1,Employed,Married,College,7,69,325.395532,85704,5573.10605
Four-Door Car,Basic,Offer2,Employed,Single,Bachelor,1,71,45.507952,21297,2659.980563
Sports Car,Basic,Offer1,Unemployed,Married,High School or Below,7,104,82.041684,0,7341.861257
Four-Door Car,Basic,Offer3,Employed,Single,College,2,64,307.2,63918,12687.15484
Four-Door Car,Basic,Offer4,Employed,Married,College,5,63,302.4,29256,4918.916267
Luxury SUV,Extended,Offer1,Employed,Divorced,Bachelor,1,215,1032,46503,8427.172486
SUV,Extended,Offer2,Unemployed,Married,College,1,131,628.8,0,4717.625727
Four-Door Car,Extended,Offer1,Employed,Married,College,2,87,109.543927,72297,10492.97256
Two-Door Car,Basic,Offer1,Unemployed,Single,College,7,70,524.836298,0,4568.819387
Four-Door Car,Extended,Offer1,Employed,Divorced,Bachelor,2,80,384,62421,9536.338382
Four-Door Car,Extended,Offer1,Unemployed,Married,High School or Below,2,80,384,0,9087.586819
SUV,Basic,Offer2,Unemployed,Single,Bachelor,1,102,862.762957,0,3099.538005
Four-Door Car,Basic,Offer2,Employed,Married,Bachelor,1,70,336,34322,2691.70088
Four-Door Car,Premium,Offer1,Employed,Single,Bachelor,2,101,384.31404,85165,20067.40315
Two-Door Car,Basic,Offer1,Employed,Married,Bachelor,8,66,456.702735,28909,5246.278375
Four-Door Car,Extended,Offer4,Employed,Married,Bachelor,3,92,181.148732,78294,7427.845088
Four-Door Car,Basic,Offer2,Employed,Married,College,1,63,103.607499,44855,2466.376803
Two-Door Car,Basic,Offer4,Employed,Married,High School or Below,2,66,351.877002,95621,20474.14563
Four-Door Car,Basic,Offer2,Medical Leave,Single,High School or Below,4,73,350.4,12430,5169.49937
Two-Door Car,Basic,Offer2,Unemployed,Married,Bachelor,1,62,297.6,0,2226.589837
Four-Door Car,Basic,Offer2,Unemployed,Married,High School or Below,2,62,297.6,0,6940.069184
Four-Door Car,Extended,Offer4,Employed,Married,High School or Below,1,83,167.39959,63583,3314.55133
Four-Door Car,Basic,Offer2,Employed,Single,Doctor,3,66,67.647131,85607,5272.518472
Four-Door Car,Extended,Offer2,Employed,Married,High School or Below,8,83,398.4,44379,6529.911496
Two-Door Car,Basic,Offer4,Employed,Married,Bachelor,8,74,201.327931,69276,5797.604861
Four-Door Car,Basic,Offer1,Unemployed,Single,High School or Below,7,62,675.661163,0,4348.139173
SUV,Premium,Offer3,Employed,Married,Master,1,195,571.663256,28054,7771.582097
Four-Door Car,Basic,Offer2,Employed,Married,Doctor,7,66,309.577946,68931,5332.462694
Four-Door Car,Premium,Offer3,Employed,Married,Master,2,115,552,77915,32643.07651
Four-Door Car,Extended,Offer3,Employed,Single,College,1,77,154.907769,75180,3038.829992
Four-Door Car,Basic,Offer1,Employed,Married,High School or Below,6,71,142.932303,79955,5733.213979
Luxury Car,Extended,Offer1,Employed,Married,Bachelor,7,212,1017.6,22497,16985.49688
SUV,Basic,Offer3,Unemployed,Single,College,5,110,792,0,6863.706694
Four-Door Car,Basic,Offer1,Unemployed,Divorced,Bachelor,7,67,321.6,0,4582.647706
SUV,Extended,Offer1,Unemployed,Single,High School or Below,3,136,979.2,0,9713.156737
Four-Door Car,Basic,Offer1,Employed,Married,College,7,74,128.643975,35301,5874.820212
Four-Door Car,Extended,Offer1,Employed,Single,High School or Below,8,76,364.8,26876,6005.214792
Two-Door Car,Basic,Offer1,Employed,Married,College,9,69,192.879457,56872,5551.394979
Four-Door Car,Extended,Offer4,Employed,Single,Bachelor,2,85,408,67890,9942.304791
Four-Door Car,Extended,Offer1,Unemployed,Single,Bachelor,2,85,408,0,9408.343519
Luxury SUV,Basic,Offer2,Employed,Married,Master,1,186,737.442295,81568,7583.56435
Two-Door Car,Premium,Offer1,Employed,Married,Master,5,106,508.8,26680,8613.464627
Four-Door Car,Basic,Offer1,Disabled,Married,Bachelor,1,67,82.811346,28898,2531.586761
Four-Door Car,Premium,Offer1,Unemployed,Single,High School or Below,1,105,756,0,3728.83013
Four-Door Car,Extended,Offer2,Unemployed,Single,High School or Below,2,82,590.4,0,8509.453945
Four-Door Car,Extended,Offer2,Disabled,Married,High School or Below,1,89,640.8,19447,3336.219942
Two-Door Car,Premium,Offer2,Employed,Married,High School or Below,3,111,532.8,76184,9002.409572
Four-Door Car,Extended,Offer2,Employed,Divorced,College,1,88,242.254164,68401,3455.23067
Four-Door Car,Basic,Offer2,Medical Leave,Single,Bachelor,6,61,292.8,21137,4492.23348
SUV,Basic,Offer2,Disabled,Married,High School or Below,2,119,571.2,11432,13466.92071
Four-Door Car,Extended,Offer4,Employed,Married,College,2,78,453.073096,43267,15673.13621
Four-Door Car,Basic,Offer2,Retired,Married,High School or Below,1,69,348.278032,21861,2633.011837
SUV,Basic,Offer1,Employed,Divorced,Bachelor,7,119,221.188327,81410,9567.711298
Two-Door Car,Extended,Offer1,Unemployed,Divorced,High School or Below,7,82,445.001296,0,5673.840992
SUV,Basic,Offer1,Employed,Married,Bachelor,8,114,539.843003,33897,9080.639651
SUV,Basic,Offer3,Employed,Married,High School or Below,6,102,204.74051,73466,8161.576876
Four-Door Car,Basic,Offer1,Employed,Married,College,3,69,120.109061,46971,5522.769962
Two-Door Car,Basic,Offer1,Employed,Married,College,2,68,158.041549,92777,8146.271602
Sports Car,Basic,Offer1,Employed,Married,Doctor,1,112,425.423198,52957,4530.385427
Four-Door Car,Extended,Offer4,Unemployed,Divorced,Doctor,2,97,469.229028,0,17530.03658
Two-Door Car,Extended,Offer2,Unemployed,Single,High School or Below,1,86,619.2,0,3031.399321
Four-Door Car,Basic,Offer2,Employed,Single,Bachelor,6,72,471.443077,74015,5555.830205
Four-Door Car,Basic,Offer2,Employed,Married,Bachelor,2,71,101.353875,36523,14010.52742
Four-Door Car,Basic,Offer1,Unemployed,Single,High School or Below,1,65,468,0,2360.601748
Four-Door Car,Basic,Offer2,Unemployed,Married,College,6,72,345.6,0,5340.810309
Four-Door Car,Basic,Offer2,Unemployed,Divorced,High School or Below,2,63,685.12694,0,16468.22079
Four-Door Car,Extended,Offer2,Employed,Married,College,1,88,170.106831,76769,3560.628183
Luxury SUV,Premium,Offer1,Retired,Divorced,College,8,256,1228.8,26000,17790.40826
Sports Car,Extended,Offer1,Unemployed,Single,Master,9,122,650.52179,0,9031.214859
Luxury SUV,Basic,Offer1,Employed,Married,Bachelor,5,188,881.360959,48081,14895.39798
Four-Door Car,Basic,Offer2,Employed,Married,High School or Below,6,63,225.558918,78735,5064.127663
Two-Door Car,Basic,Offer1,Employed,Married,College,3,67,326.549425,56835,5387.926265
Four-Door Car,Basic,Offer1,Employed,Married,College,3,63,174.08854,67890,5020.473987
Two-Door Car,Basic,Offer4,Employed,Married,Bachelor,2,70,433.38842,36554,8110.536059
Four-Door Car,Extended,Offer2,Employed,Divorced,College,1,81,207.75186,62873,3230.576665
Two-Door Car,Basic,Offer3,Employed,Married,Bachelor,2,74,358.643521,20346,26199.52707
SUV,Extended,Offer3,Unemployed,Married,College,1,125,539.5622,0,3962.825542
Four-Door Car,Basic,Offer1,Medical Leave,Married,College,5,73,106.814987,18892,5575.198201
Two-Door Car,Basic,Offer2,Employed,Married,High School or Below,3,66,1.332349,60101,5260.921627
Four-Door Car,Basic,Offer1,Unemployed,Married,College,1,62,311.506082,0,2220.187426
Two-Door Car,Extended,Offer1,Unemployed,Single,College,2,99,831.340966,0,10175.2441
Four-Door Car,Basic,Offer2,Employed,Married,High School or Below,1,74,355.2,57248,2952.581331
Four-Door Car,Extended,Offer1,Unemployed,Single,College,2,94,807.168846,0,10004.02761
Four-Door Car,Extended,Offer1,Unemployed,Single,College,2,77,554.4,0,18708.75831
Four-Door Car,Extended,Offer2,Employed,Married,Master,1,83,292.206784,63398,3353.381136
Two-Door Car,Extended,Offer4,Medical Leave,Single,College,1,86,412.8,25630,3016.444225
Four-Door Car,Extended,Offer1,Employed,Divorced,High School or Below,6,95,185.355353,96306,7519.133631
Four-Door Car,Basic,Offer1,Employed,Divorced,College,3,68,326.4,69488,5195.824739
SUV,Basic,Offer2,Unemployed,Married,College,7,112,78.975117,0,7736.457821
SUV,Premium,Offer2,Employed,Married,High School or Below,2,163,983.374985,25561,19357.79964
SUV,Extended,Offer1,Unemployed,Single,College,4,137,657.6,0,9490.406534
Two-Door Car,Basic,Offer2,Employed,Married,College,2,66,78.452298,52774,7529.863445
Two-Door Car,Basic,Offer2,Retired,Married,College,1,72,345.6,14030,2719.506996
Four-Door Car,Basic,Offer1,Unemployed,Single,High School or Below,1,70,504,0,2458.746211
Two-Door Car,Extended,Offer2,Employed,Single,College,1,78,452.599718,88362,3061.799398
Four-Door Car,Basic,Offer1,Employed,Divorced,Bachelor,4,72,203.42306,45586,5656.203464
Four-Door Car,Basic,Offer1,Unemployed,Single,Bachelor,7,63,302.4,0,4363.1982
Four-Door Car,Extended,Offer2,Employed,Single,High School or Below,2,90,28.649762,30786,10442.43404
Four-Door Car,Basic,Offer3,Employed,Single,College,4,67,6.395416,46239,4946.960039
Four-Door Car,Extended,Offer1,Employed,Divorced,High School or Below,3,88,134.684555,85412,7060.212867
Four-Door Car,Extended,Offer2,Employed,Divorced,College,1,90,562.426585,29938,3478.887023
Four-Door Car,Extended,Offer2,Unemployed,Single,College,2,83,398.4,0,8663.497618
Four-Door Car,Extended,Offer2,Employed,Married,College,1,79,80.663097,23008,3118.981095
Sports Car,Basic,Offer2,Retired,Married,College,1,105,701.708239,28142,3873.647046
Four-Door Car,Basic,Offer1,Employed,Single,High School or Below,1,65,312,49304,2570.235172
Four-Door Car,Extended,Offer2,Employed,Married,Master,1,81,126.509441,72330,3242.043926
Four-Door Car,Extended,Offer1,Unemployed,Single,High School or Below,2,79,568.8,0,8152.244431
SUV,Basic,Offer4,Employed,Married,College,2,100,361.788917,40571,15272.79977
Four-Door Car,Basic,Offer1,Unemployed,Single,College,1,70,425.266308,0,2393.915369
Four-Door Car,Extended,Offer1,Unemployed,Divorced,College,2,92,514.360634,0,9747.99401
Four-Door Car,Basic,Offer1,Unemployed,Single,High School or Below,3,61,616.279356,0,4446.738622
Four-Door Car,Premium,Offer1,Employed,Married,College,2,102,20.405935,90016,11785.04181
SUV,Extended,Offer4,Employed,Married,College,7,130,443.786437,34948,10396.53186
SUV,Extended,Offer3,Employed,Married,College,1,121,580.8,25187,4683.443348
Luxury SUV,Extended,Offer1,Employed,Divorced,Master,5,213,731.559007,54613,17029.89338
Two-Door Car,Basic,Offer1,Unemployed,Single,High School or Below,3,62,446.4,0,4551.060479
Four-Door Car,Extended,Offer2,Medical Leave,Married,Doctor,1,96,291.536748,20101,3776.320768
SUV,Basic,Offer3,Employed,Single,College,1,115,552,62977,4482.015107
SUV,Basic,Offer1,Employed,Married,Master,2,116,250.183388,99823,14091.19449
SUV,Basic,Offer4,Employed,Single,College,2,104,499.2,60455,32450.39142
Sports Car,Extended,Offer2,Unemployed,Single,Bachelor,3,130,624,0,8489.843197
Four-Door Car,Premium,Offer3,Employed,Married,College,3,114,547.2,34614,8954.434101
Four-Door Car,Basic,Offer4,Unemployed,Single,Bachelor,1,73,376.923839,0,2726.834065
SUV,Basic,Offer4,Disabled,Divorced,College,1,117,561.6,11689,4163.79336
Four-Door Car,Basic,Offer1,Employed,Married,College,9,67,321.6,55350,5380.898636
Four-Door Car,Extended,Offer4,Employed,Married,Bachelor,2,97,465.6,26900,22721.24078
Four-Door Car,Basic,Offer2,Employed,Married,High School or Below,1,65,323.485239,50148,2582.862313
Four-Door Car,Extended,Offer4,Employed,Married,Master,1,80,103.750234,24191,3215.196994
SUV,Extended,Offer1,Employed,Single,High School or Below,2,124,345.211703,48409,38496.94701
Four-Door Car,Basic,Offer3,Unemployed,Single,High School or Below,3,65,655.489027,0,4722.237214
SUV,Basic,Offer3,Unemployed,Married,College,1,109,523.2,0,3722.368016
SUV,Basic,Offer2,Disabled,Married,Doctor,8,104,697.010998,21726,7860.086842
Two-Door Car,Basic,Offer2,Retired,Married,College,5,66,316.8,26802,4636.54647
SUV,Basic,Offer2,Employed,Married,College,3,109,523.2,87544,8685.91529
SUV,Basic,Offer4,Employed,Married,High School or Below,3,112,573.941286,76514,9028.307862
Four-Door Car,Basic,Offer2,Employed,Married,Bachelor,1,69,496.8,29286,2727.082424
Luxury SUV,Basic,Offer3,Employed,Single,High School or Below,3,192,921.6,28262,15023.59858
Sports Car,Basic,Offer1,Disabled,Married,Bachelor,1,103,535.080276,18375,3954.344534
Four-Door Car,Basic,Offer3,Employed,Single,Doctor,1,74,355.2,56502,2955.495724
Luxury Car,Premium,Offer3,Employed,Married,Doctor,2,268,1286.4,45173,32613.69038
Four-Door Car,Extended,Offer3,Unemployed,Married,Bachelor,9,77,369.6,0,5677.309793
Four-Door Car,Extended,Offer2,Employed,Divorced,Bachelor,8,81,271.968707,95025,6488.89559
Two-Door Car,Basic,Offer2,Employed,Married,Master,6,68,165.523154,89205,5494.87251
SUV,Extended,Offer1,Unemployed,Single,College,3,125,988.535078,0,9022.08313
Two-Door Car,Basic,Offer2,Employed,Divorced,High School or Below,1,69,333.189774,45754,2685.738737
Two-Door Car,Extended,Offer2,Medical Leave,Married,High School or Below,1,87,417.6,18168,3413.62256
Two-Door Car,Basic,Offer1,Unemployed,Divorced,College,2,73,350.4,0,17497.52201
Four-Door Car,Basic,Offer3,Employed,Single,College,1,62,297.6,71551,2476.588891
